scenario,n,rep,Khat,Z,scaled_exp,c_oracle,c_feasible,cover_oracle95,median_above_oracle,cover_feasible95,median_above_feasible
endpoint_baseline,10000,0,0.9988752791442362,11.247208557637611,0.6330596391658126,0.056423489381652356,0.05802309911733043,True,True,True,True
endpoint_baseline,10000,1,0.9999856419615556,0.14358038444406418,0.008081556050254278,0.05650836875606131,,True,True,,
endpoint_baseline,10000,2,0.9991975975964843,8.024024035157007,0.45163968768987167,0.05671978340725835,0.05954839018609345,True,True,True,True
endpoint_baseline,10000,3,0.9960611813036816,39.388186963184026,2.217000893913028,0.05624030611281926,,True,False,,
endpoint_baseline,10000,4,0.9997224008780954,2.7759912190461478,0.156249258689477,0.056482184521843254,0.057285462831060965,True,True,True,True
endpoint_baseline,10000,5,0.9990904992158252,9.095007841748437,0.5119210116004872,0.055932566304178095,,True,True,,
endpoint_baseline,10000,6,0.9991486180653831,8.513819346168683,0.47920827426539137,0.056269554086914995,0.055500353978331994,True,True,True,True
endpoint_baseline,10000,7,0.9985371952004063,14.628047995937088,0.8233533448368101,0.05615349606125567,,True,False,,
endpoint_baseline,10000,8,0.9967796081758643,32.20391824135693,1.8126276184106684,0.05646675816638259,0.05888413082349079,True,False,True,False
endpoint_baseline,10000,9,0.9991172998004697,8.827001995302952,0.4968360522013931,0.055959278884097685,,True,True,,
endpoint_baseline,10000,10,0.999573639242294,4.26360757705968,0.23998113491415107,0.05624608108319887,0.05587859001730426,True,True,True,True
endpoint_baseline,10000,11,0.9981547067112666,18.45293288733396,1.0386405635977882,0.05567900534418041,,True,False,,
endpoint_baseline,10000,12,0.9979010796417024,20.98920358297618,1.1813969287155819,0.05663419192223336,0.059017724092599005,True,False,True,False
endpoint_baseline,10000,13,0.9982532063431182,17.467936568817954,0.9831991257704478,0.056287787974698016,,True,False,,
endpoint_baseline,10000,14,0.9988523982137327,11.476017862672716,0.6459383846199406,0.05662912680140808,0.059003541369107286,True,True,True,True
endpoint_baseline,10000,15,0.9970588746478315,29.411253521685055,1.6554398761645237,0.05603081537410605,,True,False,,
endpoint_baseline,10000,16,0.993896078414116,61.0392158588402,3.4356492785333277,0.056609727104425966,0.0598871621624114,False,False,False,False
endpoint_baseline,10000,17,0.9987771209117635,12.228790882364837,0.6883089171638973,0.05624424712526915,,True,True,,
endpoint_baseline,10000,18,0.9979025939766076,20.974060233923673,1.180544571169457,0.05653543176910136,0.05860171124318966,True,False,True,False
endpoint_baseline,10000,19,0.9992261349787305,7.738650212695264,0.4355771555380765,0.0566693408145201,,True,True,,
endpoint_baseline,10000,20,0.9992775860485229,7.224139514770966,0.40661744032467606,0.05615328897913462,0.05532282072047989,True,True,True,True
endpoint_baseline,10000,21,0.9994173570164356,5.826429835643632,0.32794604549879697,0.05656804559855874,,True,True,,
endpoint_baseline,10000,22,0.9965000456677632,34.99954332236821,1.9699819873599382,0.0562096179902695,0.0554676257256546,True,False,True,False
endpoint_baseline,10000,23,0.9968284497239444,31.715502760556458,1.785136696867422,0.05642051498931671,,True,False,,
endpoint_baseline,10000,24,0.9954569090817087,45.43090918291304,2.557121158278819,0.05632252245049556,0.05798205458085606,True,False,True,False
endpoint_baseline,10000,25,0.9986357027261308,13.642972738692194,0.7679074638693812,0.056418786337974605,,True,False,,
endpoint_baseline,10000,26,0.9999192920216499,0.8070797835013632,0.04542723947040527,0.05572196275852682,0.05127173286314312,True,True,True,True
endpoint_baseline,10000,27,0.9944716100642085,55.283899357915224,3.111705913502859,0.05628710226504358,,False,False,,
endpoint_baseline,10000,28,0.9987445493444806,12.554506555193523,0.7066421280450591,0.056430660760855574,0.057556041545795286,True,False,True,False
endpoint_baseline,10000,29,0.9992827929077724,7.172070922275564,0.4036867109611997,0.05655287049194474,,True,True,,
endpoint_baseline,10000,30,0.9988181469902319,11.818530097681412,0.6652170056922989,0.05611799375507381,0.05540312610895375,True,True,True,True
endpoint_baseline,10000,31,0.9999036144301211,0.9638556987889846,0.0542515182995264,0.05653484932111556,,True,True,,
endpoint_baseline,10000,32,0.9996225374715483,3.774625284517219,0.2124583098425742,0.056015913963191145,0.0546054301065837,True,True,True,True
endpoint_baseline,10000,33,0.9998709213474659,1.2907865253408701,0.07265312524301756,0.057039839481627476,,True,True,,
endpoint_baseline,10000,34,0.9998582230526507,1.4177694734929247,0.07980047908867575,0.055809509778551446,0.05200635349812382,True,True,True,True
endpoint_baseline,10000,35,0.9993544996645326,6.455003354673972,0.3633258931389756,0.056698193020126963,,True,True,,
endpoint_baseline,10000,36,0.9985505389448885,14.494610551114562,0.8158426936172066,0.0563905623679989,0.05657304181816081,True,False,True,False
endpoint_baseline,10000,37,0.9946055803115602,53.94419688439789,3.036299508426596,0.05615626482205391,,False,False,,
endpoint_baseline,10000,38,0.9983688792150693,16.31120784930662,0.9180915693457639,0.05616486460969755,0.05548466066252094,True,False,True,False
endpoint_baseline,10000,39,0.9992369639345917,7.630360654082846,0.42948197658329046,0.05622186367579343,,True,True,,
endpoint_baseline,10000,40,0.9987671494429677,12.328505570322612,0.6939214515144954,0.05590456201391444,0.0538313690132038,True,True,True,True
endpoint_baseline,10000,41,0.999322265670605,6.777343293949967,0.38146909770400705,0.05679847951202212,,True,True,,
endpoint_baseline,10000,42,0.9988464735803148,11.535264196852468,0.6492731198785183,0.05615317091377003,0.056246658604759865,True,True,True,True
endpoint_baseline,10000,43,0.9990585734179821,9.414265820179013,0.5298907451206166,0.056377946831005485,,True,True,,
endpoint_baseline,10000,44,0.9949666751984385,50.3332480156149,2.8330538785262194,0.05638708792771418,0.05888387543161565,True,False,True,False
endpoint_baseline,10000,45,0.9992229231966694,7.770768033306119,0.43738493707093457,0.05710338981235395,,True,True,,
endpoint_baseline,10000,46,0.9998890758695036,1.109241304964037,0.06243468294108378,0.05623961038373074,0.055868451441947777,True,True,True,True
endpoint_baseline,10000,47,0.9981331992682064,18.668007317935718,1.050746228815322,0.05616195092097566,,True,False,,
endpoint_baseline,10000,48,0.9991378645799694,8.62135420030552,0.4852609739738347,0.05621302611989723,0.056114172870889704,True,True,True,True
endpoint_baseline,10000,49,0.9985659626296306,14.34037370369401,0.8071613285946097,0.05570667579320121,,True,False,,
endpoint_baseline,10000,50,0.9995741016752241,4.258983247759085,0.23972085022009418,0.056409233013977544,0.05686029638414845,True,True,True,True
endpoint_baseline,10000,51,0.9974573318833373,25.426681166627052,1.4311644993546784,0.05648997065450246,,True,False,,
endpoint_baseline,10000,52,0.9995248786352988,4.751213647011809,0.267426498011765,0.0559644648771987,0.0534675570794966,True,True,True,True
endpoint_baseline,10000,53,0.9994857614855408,5.142385144591977,0.2894439511283332,0.05627700622721018,,True,True,,
endpoint_baseline,10000,54,0.9999048858468785,0.951141531214672,0.05353588950188823,0.05630630740529024,0.054989180540036105,True,True,True,True
endpoint_baseline,10000,55,0.9985791751354316,14.20824864568404,0.7997245462925909,0.05612548706967208,,True,False,,
endpoint_baseline,10000,56,0.9990951696772576,9.04830322742356,0.5092921987585837,0.056488414371925574,0.06007703529441539,True,True,True,True
endpoint_baseline,10000,57,0.9963923479173338,36.07652082666224,2.0306006721441814,0.05613294084599828,,True,False,,
endpoint_baseline,10000,58,0.9974876996707611,25.123003292388812,1.414071706551672,0.055663446594608375,0.05162065404945899,True,False,True,False
endpoint_baseline,10000,59,0.9964405553064017,35.594446935982575,2.0034666929242717,0.05674851599110908,,True,False,,
endpoint_baseline,10000,60,0.9996971593675662,3.0284063243379844,0.1704566786601452,0.05552693171831992,0.05032024317212406,True,True,True,True
endpoint_baseline,10000,61,0.9990519083282704,9.480916717296006,0.5336422531203779,0.05593327045340582,,True,True,,
endpoint_baseline,10000,62,0.9998527815832329,1.4721841676712533,0.08286326097676107,0.05601492365200196,0.05427107943497095,True,True,True,True
endpoint_baseline,10000,63,0.9990317174131343,9.682825868656542,0.5450068982987388,0.056357914528831,,True,True,,
endpoint_baseline,10000,64,0.9995266824270956,4.733175729043637,0.26641121695053854,0.05627687080146426,0.05676392559099537,True,True,True,True
endpoint_baseline,10000,65,0.999633238805054,3.6676119494605253,0.20643496432268368,0.056261630672924376,,True,True,,
endpoint_baseline,10000,66,0.9987908679450539,12.091320549461049,0.680571271071705,0.05665958634319805,0.05858269922042158,True,True,True,False
endpoint_baseline,10000,67,0.9977316785114079,22.683214885921288,1.2767459371997358,0.05614722082889593,,True,False,,
endpoint_baseline,10000,68,0.9994253766894928,5.746233105071719,0.32343209761048675,0.05605385781717764,0.05491669176535231,True,True,True,True
endpoint_baseline,10000,69,0.9983173030231146,16.826969768853893,0.9471217107369221,0.056779770247276325,,True,False,,
endpoint_baseline,10000,70,0.9994988800623793,5.011199376206976,0.282060037620203,0.05628268240964542,0.05798916610470982,True,True,True,True
