n,rep,exclude_X0_gap,include_X0_gap
300,0,15.808014352555888,0.0
300,1,2.777154444108476,0.0
300,2,2.7567816504629916,0.0
300,3,4.25532205976995,0.0
300,4,6.21848682311289,0.0
300,5,27.995686935438112,0.0
300,6,7.143426198534664,0.0
300,7,9.327927753304499,0.0
300,8,2.0884155279354832,0.0
300,9,12.735187580930186,0.0
300,10,3.796151916019719,0.0
300,11,9.597892965996369,0.0
300,12,13.274296859698886,0.0
300,13,28.378520776117355,0.0
300,14,28.800649884533346,0.0
300,15,2.1014465362398926,0.0
300,16,13.901050582333696,0.0
300,17,24.021896883699167,0.0
300,18,1.5979483743588152,0.0
300,19,5.323728806701656,0.0
300,20,6.757496412132902,0.0
300,21,7.265002223303274,0.0
300,22,24.395458460992014,0.0
300,23,1.0600172593018375,0.0
300,24,9.805478605677942,0.0
300,25,0.8161573184163773,0.0
300,26,3.489311204927237,0.0
300,27,11.635424278145868,0.0
300,28,4.414802506410831,0.0
300,29,3.7345960913619525,0.0
300,30,1.8040117251094112,0.0
300,31,19.28417582126628,0.0
300,32,16.05054742063585,0.0
300,33,20.370016712229923,0.0
300,34,7.927886825652719,0.0
300,35,8.152018215466716,0.0
300,36,16.37242790668656,0.0
300,37,37.90772097425067,0.0
300,38,2.535265166459144,0.0
300,39,15.877681661776021,0.0
300,40,22.454839962887128,0.0
300,41,6.857972376662613,0.0
300,42,4.303207557540734,0.0
300,43,20.544608021781585,0.0
300,44,12.091955142467858,0.0
300,45,10.395395674548514,0.0
300,46,4.940310802954628,0.0
300,47,18.63881724830696,0.0
300,48,10.463830178399991,0.0
300,49,4.028267480119929,0.0
300,50,5.7683067667971155,0.0
300,51,12.664693629994606,0.0
300,52,1.139295158607423,0.0
300,53,0.4285024794803638,0.0
300,54,4.871964329726442,0.0
300,55,26.588880829002193,0.0
300,56,14.048627127448942,0.0
300,57,1.097392997537705,0.0
300,58,6.931057542770558,0.0
300,59,4.676414636979609,0.0
300,60,26.410315065478695,0.0
300,61,32.029315709574476,0.0
300,62,0.34225798134169816,0.0
300,63,6.474170496176157,0.0
300,64,5.770674882291282,0.0
300,65,1.3502545265487553,0.0
300,66,29.31955662063208,0.0
300,67,2.3212832009242623,0.0
300,68,2.276706701262765,0.0
300,69,10.205943103283277,0.0
300,70,8.868543622591318,0.0
300,71,12.544219900379183,0.0
300,72,6.836664913062229,0.0
300,73,13.739836215517442,0.0
300,74,1.520159466916704,0.0
300,75,0.23501338388387527,0.0
300,76,0.8730416256336304,0.0
300,77,0.5643163599085677,0.0
300,78,22.04949189380002,0.0
300,79,22.331638070008076,0.0
300,80,6.98670719061224,0.0
300,81,18.152864520041767,0.0
300,82,6.545937864646955,0.0
300,83,17.59578336496216,0.0
300,84,16.10098050594726,0.0
300,85,7.617499407759087,0.0
300,86,0.04042545616266269,0.0
300,87,10.161160297332227,0.0
300,88,9.805406877660616,0.0
300,89,3.0724415624113766,0.0
300,90,15.076097636237707,0.0
300,91,0.5273272519611849,0.0
300,92,1.8851826414983508,0.0
300,93,2.227907785526617,0.0
300,94,3.0595747487034197,0.0
300,95,4.6680923564620835,0.0
300,96,0.7265671761369163,0.0
300,97,18.236514352586784,0.0
300,98,15.703238033663036,0.0
300,99,1.3664417221944447,0.0
300,100,21.22619318723874,0.0
300,101,19.9494782062394,0.0
300,102,1.8420293372022778,0.0
300,103,5.652572231712538,0.0
300,104,14.396658414220564,0.0
300,105,13.39500993394549,0.0
300,106,11.935966619138716,0.0
300,107,3.526254785845373,0.0
300,108,16.37477987686814,0.0
300,109,48.67075842625926,0.0
300,110,6.991274895107614,0.0
300,111,14.770710730672754,0.0
300,112,3.9356991319370094,0.0
300,113,3.4700039466637467,0.0
300,114,1.1983384200011438,0.0
300,115,3.72771331915005,0.0
300,116,8.860321018003203,0.0
300,117,14.4979231589077,0.0
300,118,3.5827390200944054,0.0
300,119,2.830030142446094,0.0
300,120,5.749331409793868,0.0
300,121,12.787159184890108,0.0
300,122,4.755082020189283,0.0
300,123,2.4421863292838797,0.0
300,124,12.72483025285589,0.0
300,125,0.7955484529574619,0.0
300,126,18.0963475311133,0.0
300,127,13.590828532853694,0.0
300,128,15.381635703539953,0.0
300,129,10.450171918314632,0.0
300,130,3.9586024985928003,0.0
300,131,0.8962009478143629,0.0
300,132,8.59306962341434,0.0
300,133,13.768382884069252,0.0
300,134,11.756746572435118,0.0
300,135,15.559509458114974,0.0
300,136,4.380360665060934,0.0
300,137,2.699711660626425,0.0
300,138,2.578509575948007,0.0
300,139,12.913680005046501,0.0
300,140,6.15196535034872,0.0
300,141,0.4765082249054142,0.0
300,142,3.025114722303457,0.0
300,143,33.163005604152204,0.0
300,144,6.146942527244548,0.0
300,145,21.08012510946493,0.0
300,146,40.1503094401649,0.0
300,147,15.410862008481862,0.0
300,148,3.918224928683467,0.0
300,149,17.599897368724083,0.0
300,150,15.58677469045624,0.0
300,151,9.408206367755433,0.0
300,152,11.097150079569962,0.0
300,153,0.2500710225701641,0.0
300,154,2.685232108211988,0.0
300,155,2.3141688620465173,0.0
300,156,1.5424290974410226,0.0
300,157,8.483315106350698,0.0
300,158,5.215957188946363,0.0
300,159,6.636503854203967,0.0
300,160,2.0613723123950267,0.0
300,161,9.67561745996509,0.0
300,162,5.628925070622803,0.0
300,163,5.654624736174762,0.0
300,164,7.249585352744903,0.0
300,165,17.214655831406045,0.0
300,166,14.533761430063151,0.0
300,167,8.008648730009782,0.0
300,168,11.969884268324005,0.0
300,169,11.644828969659626,0.0
300,170,9.54947808376322,0.0
300,171,24.642525496514267,0.0
300,172,6.834617730455694,0.0
300,173,17.210033585919682,0.0
300,174,2.5931624205871473,0.0
300,175,13.969349766613126,0.0
300,176,1.5814120971822443,0.0
300,177,20.78842550083143,0.0
300,178,20.46214597225724,0.0
300,179,20.761913010668387,0.0
300,180,5.885371744686186,0.0
300,181,28.430297946636863,0.0
300,182,1.4968247132675194,0.0
300,183,16.36136922219982,0.0
300,184,1.6488485464758562,0.0
300,185,1.131793169056483,0.0
300,186,21.445575422808204,0.0
300,187,27.24325175336527,0.0
300,188,20.22016645717525,0.0
300,189,8.083254235892534,0.0
300,190,5.401706605192369,0.0
300,191,15.055004066617684,0.0
300,192,12.213032605535211,0.0
300,193,14.716850720925756,0.0
300,194,6.362856076776147,0.0
300,195,17.83640504498889,0.0
300,196,10.437711929138771,0.0
300,197,0.599083062198813,0.0
300,198,20.266749365995896,0.0
300,199,2.5685940538980434,0.0
300,200,2.003727728763982,0.0
300,201,17.820390705364865,0.0
300,202,7.950790512852201,0.0
300,203,9.576549742149288,0.0
300,204,23.69491089568746,0.0
300,205,24.750593184246494,0.0
300,206,5.927528476145105,0.0
300,207,5.829927316867911,0.0
300,208,10.00333147586957,0.0
300,209,0.7872908922564092,0.0
300,210,9.98637575525395,0.0
300,211,20.288712809294307,0.0
300,212,1.9471032751108286,0.0
300,213,6.784021001481366,0.0
300,214,14.371150541177647,0.0
300,215,15.774171953696737,0.0
300,216,7.529159076981317,0.0
300,217,4.766687150338678,0.0
300,218,5.216126083869044,0.0
300,219,3.100732283625529,0.0
300,220,19.168350349042385,0.0
300,221,5.365584142289315,0.0
300,222,17.89444071859274,0.0
300,223,1.3435768596910536,0.0
300,224,2.0236834849343466,0.0
300,225,3.6443118356997872,0.0
300,226,17.026261524984466,0.0
300,227,11.632993095029443,0.0
300,228,17.99551636203358,0.0
300,229,8.433044952320024,0.0
300,230,15.575712920093377,0.0
300,231,14.243370699402924,0.0
300,232,13.905260655285922,0.0
300,233,7.157997650301395,0.0
300,234,6.7102411853838255,0.0
300,235,2.9174653472752055,0.0
300,236,6.230682018464185,0.0
300,237,7.379391398890811,0.0
300,238,22.96055368351241,0.0
300,239,27.667427610073247,0.0
300,240,7.738307124393251,0.0
300,241,9.622317353514854,0.0
300,242,7.935609479092253,0.0
300,243,6.384445906730763,0.0
300,244,42.77676397519756,0.0
300,245,14.73638529982626,0.0
300,246,9.094620824006128,0.0
300,247,0.907774788557425,0.0
300,248,7.177788035691124,0.0
300,249,9.301708997415725,0.0
300,250,0.15103413952859412,0.0
300,251,14.342649667000895,0.0
300,252,7.580103509504699,0.0
300,253,17.91735388656689,0.0
300,254,2.374513839512371,0.0
300,255,3.9160610484412772,0.0
300,256,6.150764242186524,0.0
300,257,1.7884480548856496,0.0
300,258,16.589480229407172,0.0
300,259,5.72624275479664,0.0
300,260,9.874416120009222,0.0
300,261,5.9155176566963235,0.0
300,262,9.913863181241878,0.0
300,263,19.960800809682134,0.0
300,264,2.4316299031715283,0.0
300,265,2.749306814375696,0.0
300,266,10.694196230452935,0.0
300,267,6.164830705168168,0.0
300,268,26.87820164992315,0.0
300,269,8.45847127998882,0.0
300,270,14.555303582640489,0.0
300,271,0.7230008382318909,0.0
300,272,23.62730766507949,0.0
300,273,41.06844661729201,0.0
300,274,8.460120682366101,0.0
300,275,25.035388370239808,0.0
300,276,17.948170968208466,0.0
300,277,6.97242033668557,0.0
300,278,2.7790557192820087,0.0
300,279,7.348854696083085,0.0
300,280,14.407698585325313,0.0
300,281,40.403034735765594,0.0
300,282,5.921592304074775,0.0
300,283,10.428781030112887,0.0
300,284,9.562250856802324,0.0
300,285,1.58582714086406,0.0
300,286,5.138359974077766,0.0
300,287,1.3522931965347817,0.0
300,288,5.228064376352726,0.0
300,289,24.96253906647895,0.0
300,290,5.754187848331549,0.0
300,291,0.8340466394932022,0.0
300,292,19.497319999048823,0.0
300,293,31.52991967901536,0.0
300,294,8.91912793446683,0.0
300,295,6.522684198465245,0.0
300,296,2.8206539247662588,0.0
300,297,3.3130159948345117,0.0
300,298,1.1959139410086084,0.0
300,299,1.7785179113923966,0.0
1000,0,12.681003487631903,0.0
1000,1,4.722356417882434,0.0
1000,2,4.283330830254228,0.0
1000,3,7.494207588876867,0.0
1000,4,1.2768698287350944,0.0
1000,5,3.691038269360014,0.0
1000,6,6.755679681561433,0.0
1000,7,11.277368444086333,0.0
1000,8,23.722420362078278,0.0
1000,9,12.194072041400661,0.0
1000,10,7.683945994817809,0.0
1000,11,2.63396047530684,0.0
1000,12,12.059820179598502,0.0
1000,13,3.3916827142623784,0.0
1000,14,8.800710907806097,0.0
1000,15,0.23923447715235024,0.0
