n,reps,beta1_bias,gamma_bias,beta1_model_coverage,gamma_model_coverage,beta1_hac_coverage,gamma_hac_coverage,mean_abs_sqrt_n_plugin_beta1,mean_abs_sqrt_n_plugin_gamma,median_endpoint_gap
500,200,-0.06188736702136154,-0.31534449678649035,0.975,0.985,0.97,0.985,0.19998814031221673,2.3992532335953576,0.01899432230307896
2000,200,-0.005997801781405099,-0.05109416778440467,0.965,0.99,0.965,0.985,0.07239925987068395,1.2885032384864445,0.004142987827022049
