n,rep,Khat,beta1_known,gamma_known,beta1_estimated,gamma_estimated,sqrt_n_delta_beta1,sqrt_n_delta_gamma,cover_beta1_model,cover_gamma_model,cover_beta1_hac,cover_gamma_hac,se_beta1_model,se_gamma_model,se_beta1_hac,se_gamma_hac
500,0,0.9677912861117843,0.6259440165965633,0.6059440165965633,0.3555476737569977,0.34671491526349657,-6.046246034566072,-5.7965389232691855,False,False,False,False,0.518143236719768,0.9741489628375649,0.5204860615825452,1.104039809463033
500,1,0.8992096546982068,8.605818238827947,8.585818238827947,9.844594595766777,10.925810843372354,27.699881430347677,52.32382530608076,False,False,False,False,0.48879930892835277,0.9118790313415408,1.0337383703029608,1.5045756381875486
500,2,0.9371053412431736,1.0778960627447018,1.0578960627447018,0.6297566839329282,0.650681046299468,-10.020701144176549,-9.105604582302377,False,False,False,True,0.48047483620393305,0.9203107054057679,0.5054387324088504,1.051661334499524
500,3,0.8712322634210371,0.9790209202326491,0.9590209202326491,0.02,0.0,-21.444359694846067,-21.444359694846067,False,False,False,False,0.5124477937903812,0.9995767875820059,0.45418150405092406,0.9261239823895061
500,4,0.898131144289486,1.401598809593593,1.381598809593593,0.7291432051854223,0.7895764551695036,-15.036564433073769,-13.238022286917372,False,True,False,True,0.46185699545419096,0.9043885200916982,0.4862249918106622,1.0149563039823761
500,5,0.9486192387819923,0.7176840992597645,0.6976840992597645,0.2834795770415649,0.2777506150727739,-9.709108278177121,-9.38999816670444,False,False,False,False,0.5217323474951332,0.9874856018663343,0.4945885712462381,1.0322073063927217
500,6,6.523173875870648e-28,300.0,200.0,1.0,2.0,-6685.843252724371,-4427.414595449583,False,True,False,False,11.313708498984761,1073741824.0,1.5763827327890943e-13,1.6077746776921858e-13
500,7,0.8698121690711517,1.2146751331418364,1.1946751331418364,0.122572520164565,0.11792490817195551,-24.420156810223226,-24.07686697820845,False,True,False,True,0.4932730092693358,0.974252476343197,0.47011070730361637,0.911371206698775
500,8,0.904444845401891,0.49846733253338005,0.47846733253338003,0.02,0.0,-10.698854805576344,-10.698854805576344,False,False,False,False,0.531013782867287,0.9929732117045064,0.5040045430836912,1.009628305033718
500,9,0.9569862533410799,1.2352960120191285,1.2152960120191285,0.9558696830732697,0.9779343013610834,-6.248162662261575,-5.307569202870252,False,True,False,True,0.4809300133437126,0.9407242883080966,0.4373191115744649,0.9627804469698528
500,10,0.9443076468417141,0.7379612986099051,0.7179612986099051,0.2818282908895241,0.2772701161165245,-10.199444120442084,-9.854154411399643,False,False,False,False,0.502549203772545,0.939862191194414,0.5168101971676088,1.1042645072409922
500,11,0.8444683911829987,1.0214888141921454,1.0014888141921454,0.02,0.0,-22.393970672392935,-22.393970672392935,False,True,False,False,0.5316442152999566,1.0586128327764863,0.40877773501575343,0.8479518054644608
500,12,0.9874645063107071,0.8708573757460023,0.8508573757460023,0.7877901581205248,0.7775369678745075,-1.8574394531233642,-1.639494161386729,False,False,False,True,0.4712741151633562,0.872158032050414,0.6144555504237702,1.3193008205366994
500,13,0.9094794747558911,0.9900533950649792,0.9700533950649792,0.2115380089051553,0.2106017939069654,-17.408133249828655,-16.98185405810377,False,True,False,True,0.5276994966504559,1.0330297237049446,0.6536627474725838,1.209604855482701
500,14,0.8966913487700775,1.1441579437608982,1.1241579437608982,0.33406488725968186,0.35024859745826753,-18.114231424372978,-17.305139067551078,False,True,False,True,0.4862345175343765,0.9466225420717073,0.43406473892430136,0.94407418712574
500,15,0.9217920643420753,1.5459005937088406,1.5259005937088406,1.0705435136989612,1.139675154882985,-10.629307444878968,-8.636263358542994,False,True,False,True,0.46955438942953415,0.942594829845298,0.5058699062625662,1.0391413718061357
500,16,0.9605579269414054,1.0282122930035378,1.0082122930035378,0.7484054468156968,0.7583149609051427,-6.256671286458404,-5.587874219678515,False,False,False,True,0.5004257774853963,0.9642771741788876,0.639669140284895,1.4385374822224373
500,17,0.9179699299255868,0.43457671648968216,0.41457671648968214,0.02,0.0,-9.270217199595873,-9.270217199595873,False,False,False,False,0.5211478801814781,0.9544186493216524,0.5530960768167206,1.0298708789252922
500,18,0.9045605082863448,1.1296246731621185,1.1096246731621184,0.3925072358127706,0.41181019113743006,-16.482446973135843,-15.603606174910082,False,True,False,False,0.4866161027113462,0.9462767404886978,0.41106447417633163,0.85568264061457
500,19,0.9426405521223912,1.2394753304558497,1.2194753304558497,0.8572866774091878,0.8882353676849621,-8.54599808441418,-7.406750736202041,False,True,False,True,0.47480094990136434,0.9281263282428545,0.5023110127475826,1.0450526915899232
500,20,0.8852375211119643,1.079739326915942,1.059739326915942,0.13367467300183294,0.1284114944190842,-21.154648772617605,-20.82512342800512,False,False,False,False,0.49078595168215244,0.9510779959817037,0.42887383787897837,0.9220293676920629
500,21,0.9302713281561857,1.0347266907031765,1.0147266907031764,0.5597084328868606,0.5801623854801289,-10.621731150308031,-9.717153270737013,False,False,False,True,0.4637249984151024,0.8663994389661145,0.5253082418390782,1.0385688376903623
500,22,0.8831255344360666,0.6357629979102737,0.6157629979102737,0.02,0.0,-13.768879213564329,-13.768879213564329,False,False,False,False,0.546888385960583,1.0499885635444015,0.46581005872065095,0.9063693625611502
500,23,0.9182620478385499,0.5762931336366687,0.5562931336366687,0.02,0.0,-12.43909262227966,-12.43909262227966,False,False,False,False,0.485041972027223,0.875720607266903,0.5453810973978998,1.0499838135232016
500,24,0.8816466921303757,0.8696952416573869,0.8496952416573869,0.02,0.0,-18.99976320504028,-18.99976320504028,False,False,False,False,0.5185599961951725,1.0014070956523506,0.5482313771587268,1.055323356850716
500,25,0.9054971435722108,1.1795724129233445,1.1595724129233445,0.5135716503920587,0.5450836083755108,-14.8922297808665,-13.74038738381538,False,False,False,False,0.4690364949983836,0.8971188144900842,0.40633573190432376,0.8192287165406975
500,26,1.0,0.02,0.0,0.02,0.0,0.0,0.0,False,False,False,False,0.5475555048239273,0.6358581370666216,0.6125231918561634,0.9681266680722778
500,27,0.929120293147705,0.6704369642882384,0.6504369642882384,0.037781393629219354,0.01913788102612521,-14.14660862337488,-14.116276643073848,False,False,False,True,0.5090693495758782,0.9563084514626053,0.5367476577378055,1.174887069964957
500,28,0.8890779192034578,0.7771036149294375,0.7571036149294375,0.02,0.0,-16.92935148993047,-16.92935148993047,False,False,False,False,0.5024513087597348,0.9489062754843273,0.489146754538112,0.9223497116962304
500,29,1.0,0.5519037945613751,0.531903794561375,0.5519037945613751,0.531903794561375,0.0,0.0,False,False,False,True,0.4922086430768796,0.8918913257239024,0.6743787348142951,1.340075343728742
500,30,0.869245473375756,0.5337478642823961,0.513747864282396,0.02,0.0,-11.487751478307738,-11.487751478307738,False,False,False,False,0.5343912368730692,0.9994322507815191,0.5010078552389647,1.0114008411340702
500,31,0.938722471803325,0.4840416596303908,0.4640416596303908,0.02,0.0,-10.376286953253738,-10.376286953253738,False,False,False,False,0.4979113001431921,0.8936495246437269,0.6110056119620735,1.1218951427443251
500,32,0.8736428676261601,0.687699514243717,0.667699514243717,0.02,0.0,-14.930215023925403,-14.930215023925403,False,False,False,False,0.5105694832087498,0.9555349890279143,0.5820202242122046,1.0845859201726884
