scenario,n,reps,mean_scaled_exp,median_scaled_exp,ks_D_vs_Exp1,ks_p,oracle_95_coverage,oracle_median_frequency,feasible_reps,feasible_95_coverage,feasible_median_frequency,mean_c_oracle,mean_c_feasible
baseline,1000,300,0.9913006014686069,0.747667101539399,0.0352995405289222,0.8357516782693001,0.95,0.48,300,0.9333333333333333,0.47333333333333333,0.08918992833113107,0.09460592557648591
baseline,10000,250,0.9440044576630297,0.6578498165777124,0.05821661030521441,0.35151528670396226,0.96,0.512,50,0.96,0.48,0.08913589099427183,0.09040597342933125
stress,10000,300,0.5708449086833315,0.48777384717820593,0.24216480095478798,5.682188650531691e-16,1.0,0.6666666666666666,100,0.88,0.43,0.000853878101905798,0.00171683103294163
stress,100000,150,0.8105906483246078,0.6593803844887901,0.09067014106799998,0.15960196608703758,1.0,0.5333333333333333,15,1.0,0.5333333333333333,0.000854540167040368,0.0009291385530228092
