n,reps,beta1_bias,gamma_bias,beta1_model_coverage,gamma_model_coverage,beta1_hac_coverage,gamma_hac_coverage,mean_abs_sqrt_n_plugin_beta1,mean_abs_sqrt_n_plugin_gamma,median_endpoint_gap
500,120,2.931315624276871,1.2649822909435366,0.008333333333333333,0.30833333333333335,0.008333333333333333,0.44166666666666665,121.24019959734724,85.36984776227636,0.07809969042605386
2000,120,7.8932198620928045,4.560553195426137,0.016666666666666666,0.03333333333333333,0.016666666666666666,0.05,345.62782795229424,87.60097091880316,0.04069429278359832
