scenario,n,rep,wall,Khat,Kuse,c_hat,beta1_hat,gamma_hat,q_hat,se_beta1,se_gamma,cover_beta1,cover_gamma,success,grad_norm,nit,endpoint_gap_scaled,endpoint_upper95,endpoint_median_corrected
low_persistence,300,0,known,0.9866265040743952,1.0,0.3326506271314816,1.9947565327155452,0.0,1.9947565327155452,0.3666488819283831,0.8542248513079258,True,True,True,0.4485330899844905,7,4.012048777681432,1.0166453088825793,0.9935722014921045
low_persistence,300,0,estimated,0.9866265040743952,0.9866265040743952,0.3326506271314816,1.953786007786051,0.0,1.953786007786051,0.36943255705273037,0.8607103053387095,True,True,True,0.44853309021652543,7,4.012048777681432,1.0166453088825793,0.9935722014921045
low_persistence,300,1,known,0.9907812454829806,1.0,0.2877639870465944,2.699714591849567,1.4370184389664649,1.2626961528831018,0.36395498459061715,0.8266890911386608,True,True,True,8.063052336915177e-09,9,2.7656263551058102,1.0254825100424096,0.9988103620711254
low_persistence,300,1,estimated,0.9907812454829806,0.9907812454829806,0.2877639870465944,2.6786342311712383,1.4516491540068803,1.240367474359986,0.3656239856340003,0.8310753774167792,True,True,True,9.09792974290724e-09,9,2.7656263551058102,1.0254825100424096,0.9988103620711254
low_persistence,300,2,known,0.9996312835106139,1.0,0.2892129625977434,2.1510052843552,0.0856706559884122,2.0653346283667875,0.3668968014898738,0.8687372901345407,True,True,True,1.5327202673720564e-08,11,0.11061494681582351,1.0341586925018522,1.0076201737080428
low_persistence,300,2,estimated,0.9996312835106139,0.9996312835106139,0.2892129625977434,2.14996662197955,0.08570459022970987,2.064293632445474,0.3669690459010392,0.8689097004135924,True,True,True,2.013283983970382e-11,8,0.11061494681582351,1.0341586925018522,1.0076201737080428
low_persistence,300,3,known,0.9946727837557338,1.0,0.265877250673126,2.6156212738011995,0.9769029260748922,1.6387183477263074,0.372604104970447,0.8772223733040674,True,True,True,1.3625606998246553e-07,10,1.5981648732798726,1.0322306200124982,1.0033628487989708
low_persistence,300,3,estimated,0.9946727837557338,0.9946727837557338,0.265877250673126,2.603025398766612,0.9823974293285535,1.625861412981903,0.3735844394816258,0.8797544250839412,True,True,True,1.4066336539997337e-07,10,1.5981648732798726,1.0322306200124982,1.0033628487989708
low_persistence,300,4,known,0.9999673645810687,1.0,0.3258631078556624,1.9388406967464689,0.0,1.9388406967464689,0.35925202973005715,0.815823989923284,True,True,True,0.9935172181608728,7,0.00979062567938449,1.0306114418161114,1.0070577364156426
low_persistence,300,4,estimated,0.9999673645810687,0.9999673645810687,0.3258631078556624,1.9387412307019605,0.0,1.9387412307019605,0.35925865998279716,0.8158390465375739,True,True,True,0.993517246360634,7,0.00979062567938449,1.0306114418161114,1.0070577364156426
low_persistence,300,5,known,0.9967931874566811,1.0,0.2796651133432338,2.190943839437427,0.0,2.190943839437427,0.3621234226725075,0.8584402611927373,True,True,True,0.04660145590656986,7,0.962043762995668,1.0324993723497693,1.005054820715996
low_persistence,300,5,estimated,0.9967931874566811,0.9967931874566811,0.2796651133432338,2.1819960659185815,0.0,2.1819960659185815,0.36273584176597284,0.8598920457878177,True,True,True,0.046601455905123046,7,0.962043762995668,1.0324993723497693,1.005054820715996
low_persistence,300,6,known,0.9968993998400202,1.0,0.28130472512931026,2.729886579771618,1.524714485888069,1.2051720938835486,0.37215769595320103,0.8495736922482457,True,True,True,1.1139473621302187e-08,10,0.9301800479939448,1.0323974677824967,1.005112879371174
low_persistence,300,6,estimated,0.9968993998400202,0.9968993998400202,0.28130472512931026,2.722984893720811,1.5298920958253226,1.1978363815725563,0.3727278783423772,0.8510827613951107,True,True,True,2.8856646516750573e-09,9,0.9301800479939448,1.0323974677824967,1.005112879371174
low_persistence,300,7,known,0.9977929168039821,1.0,0.31085702089201606,2.024988282359215,0.0,2.024988282359215,0.3667147308045462,0.8500078326581626,True,True,True,0.5756387847045509,7,0.6621249588053768,1.0299162840566354,1.0052255641195758
low_persistence,300,7,estimated,0.9977929168039821,0.9977929168039821,0.31085702089201606,2.0184463180860575,0.0,2.0184463180860575,0.3671624228074786,0.8510455376564743,True,True,True,0.5756387872703617,7,0.6621249588053768,1.0299162840566354,1.0052255641195758
low_persistence,300,8,known,0.9826301092494503,1.0,0.33851722901815046,2.437934760870135,1.2048725299586955,1.2330622309114398,0.36258924275651544,0.801714477560485,True,True,True,1.6328594520942374e-07,9,5.21096722516492,1.0121286794526365,0.9894554357138312
low_persistence,300,8,estimated,0.9826301092494503,0.9826301092494503,0.33851722901815046,2.3930689861794168,1.2296339035035102,1.1847936892429347,0.36599484188969095,0.8102223046231987,True,True,True,9.473490469869006e-08,9,5.21096722516492,1.0121286794526365,0.9894554357138312
low_persistence,300,9,known,0.9770089559583987,1.0,0.2601741547908267,2.9583309263455435,1.557278750132547,1.4010521762129968,0.37688204953606586,0.9008865672427893,True,True,True,1.0463924171588701e-08,6,6.897313212480405,1.015390071304803,0.9858895098463283
low_persistence,300,9,estimated,0.9770089559583987,0.9770089559583987,0.2601741547908267,2.909788414103465,1.5954581340384086,1.3510115282912645,0.38103991837732437,0.9125128922256647,True,True,True,1.3826128220095768e-07,10,6.897313212480405,1.015390071304803,0.9858895098463283
low_persistence,300,10,known,0.9907031465017855,1.0,0.38004998028490933,2.0018837355658556,0.6456510850330837,1.356232650532772,0.3633100590290382,0.7947131714858795,True,True,True,2.0789318266878354e-08,10,2.7890560494643557,1.01697804391842,0.9967825853170024
low_persistence,300,10,estimated,0.9907031465017855,0.9907031465017855,0.38004998028490933,1.9737856598557237,0.653035614907138,1.3268212213894937,0.36529230504664095,0.79932303007537,True,True,True,7.208058150354191e-09,8,2.7890560494643557,1.01697804391842,0.9967825853170024
low_persistence,300,11,known,0.9828583008524235,1.0,0.3128303415398328,2.3936011733039875,0.7985156593446174,1.5950855139593698,0.3630135081927524,0.8298040855812123,True,True,True,4.281450571852474e-08,9,5.142509744272939,1.0147790352544237,0.9902440633411056
low_persistence,300,11,estimated,0.9828583008524235,0.9828583008524235,0.3128303415398328,2.3482939259793207,0.814014219392502,1.5482332934374945,0.36633139793711567,0.8380230082712619,True,True,True,8.947436699235307e-11,9,5.142509744272939,1.0147790352544237,0.9902440633411056
low_persistence,300,12,known,0.9966296613631157,1.0,0.3631137646602695,1.935492265567288,0.3899975741958513,1.5454946913714367,0.3738411114555092,0.8426248928345469,True,True,True,1.5774822419319687e-08,6,1.0111015910652887,1.0241300626616527,1.0029926550767476
low_persistence,300,12,estimated,0.9966296613631157,0.9966296613631157,0.3631137646602695,1.9251518644519845,0.39157337723394525,1.534898222100506,0.3745775030921504,0.8443429769616796,True,True,True,7.63457820512256e-08,6,1.0111015910652887,1.0241300626616527,1.0029926550767476
low_persistence,300,13,known,0.9900808257931164,1.0,0.3121238297060381,2.459828474747882,1.0809032003538503,1.3789252743940317,0.3653883075026881,0.8208600758693689,True,True,True,3.882026189394594e-08,10,2.975752262065079,1.022073814776318,0.9974833064176895
low_persistence,300,13,estimated,0.9900808257931164,0.9900808257931164,0.3121238297060381,2.4347351459832662,1.0930995766027067,1.3524782145063523,0.3672960359099923,0.8256306943450028,True,True,True,2.3998051990048452e-08,10,2.975752262065079,1.022073814776318,0.9974833064176895
low_persistence,300,14,known,0.9959498373623731,1.0,0.3750271441071205,2.36144309949913,1.5769685992545626,0.7844745002445673,0.37174879121289894,0.8017611449995121,True,True,True,5.713867157197683e-10,10,1.2150487912880759,1.0225766413206692,1.002110699684399
low_persistence,300,14,estimated,0.9959498373623731,0.9959498373623731,0.3750271441071205,2.3510520549419955,1.5849157803706289,0.7725554412488091,0.37259304212796557,0.8038718854791814,True,True,True,1.7631791582317646e-09,10,1.2150487912880759,1.0225766413206692,1.002110699684399
low_persistence,300,15,known,0.9933546005593601,1.0,0.29039936979658537,2.218675218819442,0.18419679839120753,2.0344784204282345,0.3666375367872956,0.8684652480692352,True,True,True,3.225564260134206e-11,8,1.993619832191973,1.027740950130899,1.0013108526803096
low_persistence,300,15,estimated,0.9933546005593601,0.9933546005593601,0.29039936979658537,2.2002068225936515,0.1855164669395798,2.0159231866797014,0.3679324801906854,0.871585983085672,True,True,True,1.9482064950171463e-07,10,1.993619832191973,1.027740950130899,1.0013108526803096
low_persistence,300,16,known,0.9880726380808491,1.0,0.27642014933175857,3.108060239601391,2.3014356638566453,0.8066245757447461,0.3770754951528714,0.8588873138738586,False,True,True,1.1248525799700815e-07,5,3.5782085757452675,1.0241979866465034,0.9964312566817437
low_persistence,300,16,estimated,0.9880726380808491,0.9880726380808491,0.27642014933175857,3.085563044918025,2.3319537205445116,0.7814233803771585,0.3792240840051261,0.8650658230151015,False,True,True,1.6307894146194712e-08,5,3.5782085757452675,1.0241979866465034,0.9964312566817437
low_persistence,300,17,known,0.9837043353170611,1.0,0.394386628609006,2.3305015950089176,1.5011872770666945,0.8293143179422231,0.3657539074387398,0.787106129988848,True,True,True,1.0658289806286803e-09,10,4.888699404881658,1.00902409395188,0.9895627758276219
low_persistence,300,17,estimated,0.9837043353170611,0.9837043353170611,0.394386628609006,2.287057650127841,1.5323186694211104,0.7797091319310238,0.3691601504173146,0.7955907201068427,True,True,True,1.2936167692600975e-09,10,4.888699404881658,1.00902409395188,0.9895627758276219
low_persistence,300,18,known,0.9897040754480182,1.0,0.30645101015889264,2.2825717086365866,0.52392436618665,1.7586473424499365,0.36874840141372583,0.8503609856085682,True,True,True,3.8722700601567794e-09,8,3.0887773655945416,1.022289297601479,0.9972435859252997
low_persistence,300,18,estimated,0.9897040754480182,0.9897040754480182,0.30645101015889264,2.254491375666357,0.5299379479276406,1.7300096288678113,0.3707868339973553,0.855305479483778,True,True,True,1.1632247209902857e-07,8,3.0887773655945416,1.022289297601479,0.9972435859252997
low_persistence,300,19,known,0.9733756227713357,1.0,0.3721055258896243,2.1175520278886064,0.5756132903165768,1.5419387375720297,0.3776014854503627,0.8630335706529924,True,True,True,1.3277023924729292e-10,10,7.987313168599286,1.00021148934791,0.9795848576284172
low_persistence,300,19,estimated,0.9733756227713357,0.9733756227713357,0.3721055258896243,2.0377465416374614,0.5941846943752099,1.4593816447087957,0.38342837465984364,0.877026899403138,True,True,True,1.6761645863432714e-09,10,7.987313168599286,1.00021148934791,0.9795848576284172
