model,mean_log_density,MAE,RMSE
Independent truncated exponential,0.8860986608656243,0.05823963765385769,0.1048266802758919
TEAR,0.8767908714593566,0.0567398412312279,0.10899473518278936
Beta autoregression,1.1381017447605855,0.06206256901894828,0.10771325769084764
