scenario,design,q,gamma,beta1,g_beta1,pi_K,g_q
low_persistence,Low persistence,1.5,0.75,2.25,0.26508836318418133,0.31696859683617795,0.43082537518330233
baseline,Baseline,1.0,4.0,5.0,0.03391827453152116,0.08910510138159351,0.5819767068693265
near_active,Boundary stress,0.15,4.0,4.15,0.06647019220590838,0.19745542093772575,0.9268742972514623
stress,Small wall density,5.0,5.0,10.0,0.00045401991009687764,0.0008547355708628889,0.03391827453152116
endpoint_baseline,Endpoint illustration,2.5,2.5,5.0,0.03391827453152116,0.05628593405391444,0.22356372458463003
