scenario,n,reps,mean_abs_sqrt_n_delta_beta1,q95_abs_sqrt_n_delta_beta1,mean_abs_sqrt_n_delta_gamma,q95_abs_sqrt_n_delta_gamma
baseline,300,160,0.37713256020255725,1.336588147409472,1.520936630822075,5.263669033932242
baseline,1000,160,0.2273760144335359,0.7184129471658462,0.9174681431596188,2.4580426510460285
baseline,3000,160,0.13665177759511463,0.41543854957477366,0.5999843481270972,1.6352253291055663
low_persistence,300,160,0.44321105142370565,1.321790018154977,0.15378138288919768,0.5919629929739753
low_persistence,1000,160,0.2803531577043553,0.7436569226039316,0.08718832229608667,0.3214767969706866
low_persistence,3000,160,0.15332218024968156,0.4254162162506482,0.0518190585828374,0.1499190867916319
near_active,300,160,0.33489141710051806,0.8813348224041939,0.9004055941142972,2.6076782453703635
near_active,1000,160,0.17674873111237194,0.4603319035706713,0.5239125037418829,1.5308490199976033
near_active,3000,160,0.09512189395121795,0.27235536752814776,0.3323422735824364,0.9625693382294424
