vm_id,n,mean,sd,maximum,zero_fraction,lag1,half_mean_diff,q_hat,gamma_hat,beta1_hat,q_face,gamma_face,lr_gamma0,mixture_p,pit_mean,pit_var,pit_lag1,cdf_distance,tear_log_density,ind_log_density,beta_log_density,tear_mae,ind_mae,beta_mae,tear_rmse,ind_rmse,beta_rmse
1,340,0.04714331232492998,0.1862739995474955,0.9468333333333334,0.0,0.4285859408489258,0.07082780112044819,1e-06,32.86296515721817,32.86296615721817,True,False,228.02435116684364,8.038528803538239e-52,0.2249115109612051,0.033343112637436424,0.24219802408768967,0.7192878652230634,2.1075556242731253,1.079563733644537,2.011939221053414,0.08706660011245629,0.09317136058068541,0.12311978196981054,0.22335841361748865,0.24099629251558247,0.23314822090578874
1005,532,0.19434304511278197,0.05773321256524386,0.299,0.0,0.6522211632352176,0.004107142857142865,1e-06,6.25676165788079,6.25676265788079,True,False,12.009144937123324,0.00026470070124412433,0.6123152549552888,0.008757671417957802,0.5038661410801895,0.4200577263741139,0.683924731167051,0.6711948853634345,1.7263365554957866,0.04472237864039138,0.05319333749434178,0.03379338929208355,0.05279832041317946,0.06029985990876555,0.04519828240603755
1006,532,0.07603665413533835,0.02654387854908141,0.2895,0.0,0.3174671821998147,0.0029705513784461096,1e-06,14.297430973457574,14.297431973457574,True,False,2.9059767575758997,0.0441258881689976,0.6165293097570806,0.008050968939058581,0.3535808119736246,0.4645096459122551,1.6221259961247427,1.6188999926825023,2.5451112511058396,0.01844286080246791,0.019306025962698318,0.01663321918207234,0.023023302169712094,0.023845970520648904,0.021641399474031597
1007,532,0.1791298558897243,0.03390722798714216,0.2980833333333333,0.0,0.6072455925722147,0.012104949874686716,1e-06,6.673549369848828,6.6735503698488285,True,False,4.10133000353926,0.02142474676087213,0.6221431522554757,0.0024361246807245262,0.40087241282664904,0.5558279215384455,0.7792203993135465,0.7770113258598457,2.5863134544488733,0.013765232951639983,0.017483355277068395,0.009608529330380963,0.015234907593428465,0.01907859119656164,0.011104031523783062
1226,340,0.13697030812324928,0.07356053607451564,0.2845,0.0,0.8749523395304268,0.07479544817927174,1e-06,8.776367256297242,8.776368256297241,True,False,25.131652784655785,2.6773340289123254e-07,0.5924685352258631,0.02823174597819764,0.8411384502867294,0.3040605021151131,1.2211009846118002,1.1718441789964507,2.2044491353342166,0.060355595207589166,0.07263852231815338,0.02153543988091941,0.06500535638413305,0.07825560409762537,0.03272292070714134
1227,313,0.06287669253004716,0.04288711365938586,0.128,0.0,0.9814032411558137,0.07754617737181431,1e-06,17.542894243464797,17.5428952434648,True,False,18.75083637395528,7.447900712774812e-06,0.5547485146612845,0.05850620388248833,0.9855244003781783,0.2927467677245745,2.28501074711664,2.229259184025938,4.12497501491497,0.04907338902521874,0.05529044541558793,0.0014268221083684521,0.04908621599393397,0.05530332261483537,0.0015722510959186727
1229,340,0.042678641456582636,0.06510847871635175,0.37316666666666665,0.0,0.5378547116749287,0.003074929971988792,1e-06,26.25475236710582,26.25475336710582,True,False,37.19553926313188,5.342896711980839e-10,0.3969666410549324,0.11482175326434747,0.6989781056046732,0.33953357117132715,2.2485176752313927,2.2008225218410167,2.536875254755965,0.04397750551270238,0.04630911884830785,0.03274805742213086,0.06460313574765,0.0658359997416485,0.05521442468654995
1233,340,0.03434299719887955,0.0452635256792393,0.231,0.0,0.6719386928480561,0.0100201680672269,1e-06,31.494251243996633,31.494252243996634,True,False,27.660916231915962,7.227700227025906e-08,0.43166304169258607,0.10432538240262335,0.760471420717994,0.2853650001707256,2.474145124911996,2.4429542230453714,2.7392696045471476,0.029962716219693635,0.031375631171012025,0.021020761020196663,0.0376296747942152,0.03860087256618003,0.02893307539478723
142,340,0.0498265406162465,0.054244347348546954,0.5826666666666668,0.0,0.4112343264624484,0.029536274509803923,1e-06,21.881719787980728,21.88172078798073,True,False,16.028471230658397,3.1198536729613454e-05,0.5589906396809898,0.018919168913934758,0.7093977870248943,0.4248502361249869,2.347595856713651,2.3219931245663608,2.7092746411983186,0.023626698923704427,0.026792766586411398,0.017053040513475705,0.02374402566827058,0.026905131788039258,0.017134716375136198
29,340,0.21600840336134447,0.08043907517552759,0.6666666666666667,0.0,-0.007421662415782937,0.00126050420168064,4.369085623922802,0.0,4.369085623922802,False,True,1.4154011296341196e-11,0.49999849910664523,0.603071673219238,0.0055923070358158715,0.03409461095406265,0.573892947475484,0.5589686975648054,0.5589687012631962,1.282112582479602,0.03489699653027217,0.03489697040009809,0.03782126802875695,0.07993738493894532,0.07993738309645815,0.08020695918765887
320,340,0.07056652661064426,0.0780440616597571,0.6293333333333333,0.0,0.41863792366124025,0.020340896358543407,1e-06,15.858898279451564,15.858899279451563,True,False,23.56530280404104,6.037264616644449e-07,0.5497195148331123,0.0286965342224521,0.37400242093297087,0.24952098310222934,1.892650817832422,1.8454666836071911,1.8585999436803855,0.04952311535555276,0.05383536566767469,0.04465037911019952,0.07338609741227034,0.07797587605067635,0.0702947683724187
321,334,0.02836883376104933,0.0225634594120939,0.24533333333333332,0.0,0.7351250198288214,0.004851154833190756,1e-06,36.75166395112376,36.75166495112376,True,False,8.889746955418104,0.0014338823711146293,0.6036312648628112,0.005263570467486679,0.28909036275239336,0.5244250366711528,2.648002853240279,2.645412263036183,3.5613866325914123,0.004370121216383333,0.004900493166633484,0.0035634261356672957,0.005062536025174304,0.005479626504480612,0.005039038094573235
