scenario,design,n,s_equals_1_over_nc,lower_bound,empirical_survival,upper_bound,reps
baseline,Baseline,1000,0.011222702005775064,0.00162766984479081,0.38666666666666666,0.6759650600271947,300
baseline,Baseline,10000,0.0011222702005775065,0.0014735146325522983,0.372,0.6826780086093777,250
stress,Small wall density,10000,0.11699524789759962,7.64883920938155e-16,0.15666666666666668,0.3646525608714646,300
stress,Small wall density,100000,0.01169952478975996,1.1531809631448318e-17,0.34,0.5692109033343422,150
endpoint_baseline,Endpoint illustration,10000,0.0017766428092711993,0.018884876828610044,0.3566666666666667,0.5459055029143068,300
