scenario,n,reps,mean_scaled_exp,median_scaled_exp,ks_D_vs_Exp1,ks_p,oracle_95_coverage,oracle_median_frequency,feasible_reps,feasible_95_coverage,feasible_median_frequency,mean_c_oracle,mean_c_feasible,relative_c_bias,oracle_coverage_mcse,feasible_coverage_mcse
baseline,1000,300,0.9913006014686068,0.747667101539399,0.0352995405289222,0.8357516782693001,0.95,0.48,300,0.9333333333333332,0.4733333333333333,0.089189928331131,0.0946059255764859,0.06072431435584511,0.012583057392117921,0.014401645996461921
baseline,10000,250,0.9440044576630297,0.6578498165777124,0.0582166103052144,0.3515152867039622,0.96,0.512,50,0.96,0.48,0.0891358909942718,0.0904059734293312,0.014248833111916917,0.01239354670786374,0.02771281292110205
stress,10000,300,0.5708449086833315,0.4877738471782059,0.2421648009547879,5.682188650531691e-16,1.0,0.6666666666666666,100,0.88,0.43,0.0008538781019057,0.0017168310329416,1.0106277806046866,0.0,0.03249615361854384
stress,100000,150,0.8105906483246078,0.6593803844887901,0.0906701410679999,0.1596019660870375,1.0,0.5333333333333333,15,1.0,0.5333333333333333,0.0008545401670403,0.0009291385530228,0.08729652374430981,0.0,0.0
endpoint_baseline,10000,300,1.0151605025176154,0.6665637109500667,0.0356238755021173,0.8276389318814888,0.9466666666666668,0.52,150,0.92,0.5466666666666666,0.0563157930496037,0.0564791141123055,0.0029000934526119113,0.012972906239401255,0.022150996967781528
