n,rep,Khat,beta1_known,gamma_known,beta1_estimated,gamma_estimated,sqrt_n_delta_beta1,sqrt_n_delta_gamma,cover_beta1_model,cover_gamma_model,cover_beta1_hac,cover_gamma_hac,se_beta1_model,se_gamma_model,se_beta1_hac,se_gamma_hac
500,0,0.9987542260759361,5.598067112651582,5.446948879980001,5.59766511063671,5.451974227842327,-0.008989038323458086,0.11237019430744939,True,True,True,True,0.35536151427874496,0.9819518138538434,0.33572807228571044,0.8121298798397593
500,1,0.9536352905481106,5.19018286828134,4.098624711188353,5.157895032146269,4.237566455976955,-0.7219779644439414,3.10683186259742,True,True,True,True,0.349482871673177,1.0061828516383011,0.3077603405266777,0.7688147806693642
500,2,0.9860433030032156,6.2851168597803735,4.940725557968076,6.2816163919437775,4.980217775566996,-0.07827284035680207,0.8830728313339932,True,True,True,True,0.3705081229316114,1.1283651844561815,0.39170018784674077,1.3205370649951846
500,3,0.999906127833226,5.391397034855971,4.580996290059145,5.3913504068011875,4.58129190952452,-0.0010426350015449934,0.006610252200494959,True,True,True,True,0.3489597858690297,0.9834169122233339,0.32271985510709883,0.9415957893583834
500,4,0.9770796934082323,6.208522051904342,6.188522051904342,6.216345471719885,6.341699160798134,0.17493698524073806,3.4251442808340675,True,True,True,True,0.3655891648600232,1.009623403296369,0.3576900295216519,1.016878302809855
500,5,0.9519982554004969,6.51424645227248,6.49424645227248,6.533758604545234,6.833331293887486,0.43630498869205314,7.582167559909027,False,True,False,True,0.3747769141536096,1.0389079829102266,0.4029188841092262,1.140743063137052
500,6,0.967299927584335,5.427265392562526,4.786817103090402,5.411301624533508,4.9066929546866,-0.35696070489920845,2.680505530297743,True,True,True,True,0.3460518371700594,0.9529711752601624,0.363279830327686,0.9535381265917746
500,7,0.9600663173583359,5.173519945370972,4.509681193283986,5.148610397434268,4.655140813054946,-0.5569944247525995,3.2525759778914023,True,True,True,True,0.33520480378586753,0.8858705957668488,0.3579745131926634,0.8225804277959606
500,8,0.9842970978663903,5.817421605084169,5.502436993739117,5.812450660904239,5.562752255572924,-0.11115369098680285,1.3486902554109153,True,True,True,True,0.35585173761221756,0.9778435753135395,0.3742802139793714,1.027095411949993
500,9,0.9261647069296257,5.4411820005999365,5.421182000599937,5.419256084193491,5.829693189338678,-0.49027839553789754,9.134587875890713,True,True,True,True,0.351268339692349,0.9380353014561182,0.32809797678626734,0.8080744582254241
500,10,0.9979528178467743,5.924809610271026,5.4743724650539995,5.924277190654887,5.481880523539908,-0.01190526454242964,0.16788529153534854,True,True,True,True,0.35998280772496993,1.0142684706512697,0.37953403896565235,1.1007642558834796
500,11,0.9719345488885259,5.1351619282890075,4.687318887562332,5.118996217454737,4.796138895942363,-0.3614762833003377,2.433289360498452,True,True,True,True,0.3392133070500028,0.9065798298272996,0.3265608321167919,0.8874049073471021
500,12,0.9744987264227203,5.309117814477657,5.289117814477658,5.302630456248478,5.420869533242434,-0.14506173994838162,2.94605799310474,True,True,True,True,0.33791503149798796,0.8588090099946311,0.3434003207974481,0.7554943880598487
500,13,0.9838351979969318,5.080162544454702,4.697531418827778,5.071306773800812,4.761882097307842,-0.19802105175247006,1.4389249147965455,True,True,True,True,0.33584309162783865,0.8800811242482117,0.33381272496058756,0.7215749882817662
500,14,0.999483381185058,5.4401964040996145,5.420196404099615,5.4401537600994665,5.422955360871484,-0.0009535488316337943,0.061692148888821983,True,True,True,True,0.3456913370643361,0.9103156805299323,0.3365446074682722,0.8031413816436069
500,15,0.988751088851851,5.446586312454722,5.002553495086985,5.441895734389603,5.046004083979301,-0.10488451407374452,0.9715847042561441,True,True,True,True,0.3391740233862564,0.8901854758217934,0.32875166791161436,0.737667345326578
500,16,0.9789267080266427,5.142766915582143,3.2148595403904427,5.127484659119736,3.258118230235826,-0.3417216429952924,0.9672937111185689,True,False,True,False,0.3451608826983402,1.0265616697043274,0.3230273064093179,0.803553138182964
500,17,0.9822407574647902,5.355910802630481,4.28548613442847,5.346147429472188,4.338980646436124,-0.21831566071640232,1.1961736527229256,True,True,True,True,0.3461739784357337,0.9755276797237235,0.33794559249515943,0.9667700445442485
500,18,0.9697759144436912,5.736504915648291,5.2059073581801165,5.725971341642814,5.32337526423899,-0.23553787522270442,2.62666223122201,True,True,True,True,0.34663828533423563,0.9275383034439487,0.36312046343952786,1.0143922261113525
500,19,0.9687066293366777,5.217177624454236,4.9148683843858745,5.199985716278357,5.04166485609221,-0.38442275344199633,2.8352553004249583,True,True,True,True,0.33726372163735063,0.8741943940993725,0.3584651464392156,0.7481529708570339
500,20,0.8887033012653005,6.134791880278019,5.771252669057602,6.094780123383693,6.253816944748054,-0.8946900831491008,10.790465239567995,True,True,True,True,0.37371927078955,1.0967251102779343,0.3718020567473832,1.046765237919235
500,21,0.9761043412184194,5.223586118436229,5.203586118436229,5.215203137418835,5.322385034097829,-0.18744915408982557,2.6564245107260165,True,True,True,True,0.3356172071429598,0.8489935825720812,0.3360101809989269,0.8827084870804958
500,22,0.9507661717660939,5.632147611357712,5.1834167304074565,5.611676478591883,5.380772454819566,-0.4577484444081721,4.413008155341923,True,True,True,True,0.3515091007858879,0.9670035385480652,0.3095787299129665,1.0311961573400799
500,23,0.9952709810019988,5.90923589509985,5.832281442234389,5.90835792579234,5.852538376558233,-0.019631990537503953,0.45295882163863704,True,True,True,True,0.359051774681623,0.988216159624509,0.33907850117123545,0.9126259412035203
500,24,0.957279987476568,5.8968579564539665,5.876857956453967,5.905738615438406,6.148398266377084,0.19857757174201873,6.07182591619451,True,True,True,True,0.3586544679317633,0.9710972724522353,0.34277720267928335,0.8994268058741998
500,25,0.9991741048017195,5.650366740370633,5.630366740370634,5.650435592957274,5.6350895863885535,0.0015395906415601839,0.10560604743332942,True,True,True,True,0.3463095814153525,0.891526994324019,0.3519947211858331,0.9397318800305241
500,26,0.9801057053820706,5.625676939520583,5.127644723377954,5.618505741279255,5.205246396948848,-0.16035286747735986,1.735226172722673,True,True,True,True,0.34276988066445385,0.9066884115527732,0.34923060345018486,0.8386334705219756
500,27,0.9942932061949884,5.427989807702958,5.4079898077029585,5.428038269908993,5.439077966352348,0.0010836478703347416,0.6951523603533227,True,True,True,True,0.34052894867176864,0.8539530550928239,0.3175912601248915,0.7236465221066095
500,28,0.9901930567601613,5.5873332402314775,5.311410741249423,5.584026267136925,5.35191028591095,-0.07394616639182779,0.9055973492096321,True,True,True,True,0.3391458221695014,0.869846511977211,0.35211424854395773,0.8455799201662622
500,29,0.9677304276369952,6.192280319716909,6.17228031971691,6.203742526191751,6.389943262703042,0.25630272849883895,4.867091366996535,True,True,True,True,0.3656008311733558,1.0019058413192508,0.39477720803983785,0.8539613365932003
500,30,0.9989620993915256,6.052453215379954,6.032453215379954,6.052773423254281,6.039041347943915,0.007160065739257945,0.1473151225779569,True,True,True,True,0.3565531565988871,0.9351112363451746,0.3911229416943129,0.9973319899515045
500,31,0.9677425539314132,5.228331031545852,5.208331031545852,5.21786174419995,5.37112036985855,-0.23410038181415777,3.640080264794035,True,True,True,True,0.3323808064131642,0.8279453034159814,0.3350532453047789,0.8554923298059016
500,32,0.9726264259577061,5.589905380777751,5.327536234214852,5.579610965364597,5.439809074296035,-0.2301901265243321,2.510497024484887,True,True,True,True,0.350072200107574,0.9479613950012921,0.3130769823109856,0.8072815371139965
500,33,0.9871028656674418,6.005076303809076,5.691886882840402,6.0022733744802155,5.742586575226444,-0.06267540515460943,1.1336795861351767,True,True,True,True,0.364594305405572,1.04528553060289,0.36830355989764757,1.1038772768595373
500,34,0.9814568975112397,5.683459123878028,5.663459123878028,5.686839386779952,5.773905508382303,0.07558497630523148,2.469656236206386,True,True,True,True,0.3436505244101075,0.8671210856595463,0.3097210061619246,0.812480797023913
500,35,0.9932864489139185,5.302554051792804,4.7492200855555975,5.299318517341166,4.773816958596946,-0.07234874977404429,0.5500028015438699,True,True,True,True,0.33715393628331214,0.8957024216772913,0.3800830242140316,0.8971820835679963
